rule_id,invoice_type_id,rule_name,field_id,check_type,check_value,severity,agent_hint,error_message,page_region,enabled,rule_group
R_VIA_001,VIAJES,fecha_requerida,VIA_003,required,,error,"La fecha del documento es obligatoria para justificar el gasto. Buscar en cabecera, en el billete o en el membrete del hotel.",Falta la fecha del documento de viaje. Campo obligatorio.,header,true,general
R_VIA_002,VIAJES,importe_total_requerido,VIA_011,required,,error,El importe total es imprescindible. Para dietas calcular días × tarifa si no aparece un total explícito.,Falta el importe total del gasto de viaje. Campo obligatorio.,totals,true,general
R_VIA_003,VIAJES,beneficiario_requerido,VIA_004,required,,error,El nombre del viajero/beneficiario es obligatorio para justificar a quién corresponde el gasto.,Falta el nombre del beneficiario o viajero. Campo obligatorio.,body,true,general
R_VIA_004,VIAJES,destino_requerido,VIA_005,required,,warning,El destino es necesario para validar que el viaje está relacionado con actividades del proyecto.,No se ha identificado el destino del viaje.,body,true,general
R_VIA_005,VIAJES,motivo_recomendado,VIA_006,required,,warning,El motivo del viaje debe estar justificado. Si no aparece en el documento puede constar en documentación complementaria.,No se ha identificado el motivo del viaje.,body,true,general
R_VIA_006,VIAJES,importe_dieta_razonable,VIA_008,range,"0,500",warning,La tarifa diaria de dieta debe ser razonable. Si supera 500 EUR/día verificar si es correcto o hay un error de extracción.,La tarifa diaria de dieta supera el límite esperado de 500 EUR/día.,body,true,general
R_VIA_007,VIAJES,calculo_dietas,VIA_011,cross_field,per_diem_days * per_diem_rate,warning,"Si hay días y tarifa de dieta, el total debe coincidir aproximadamente con días × tarifa (±0.02). Si no cuadra puede haber otros gastos incluidos o un error de extracción.",El importe total no coincide con el cálculo días × tarifa de dieta.,totals,true,general
R_VIA_008,VIAJES,moneda_requerida,VIA_012,required,,warning,Identificar la moneda para conversión si es necesario. EUR por defecto en documentos en español.,No se ha identificado la moneda del documento.,totals,true,general
R_PL_001,PERS_LOCAL,empleado_requerido,PL_001,required,,error,El nombre del trabajador es imprescindible para identificar a quién corresponde la nómina.,Falta el nombre del trabajador en la nómina.,header,true,general
R_PL_002,PERS_LOCAL,periodo_requerido,PL_002,required,,error,El período de liquidación (mes/año) es obligatorio para identificar a qué mes corresponde el gasto.,Falta el período de liquidación de la nómina.,header,true,general
R_PL_003,PERS_LOCAL,bruto_requerido,PL_004,required,,error,El salario bruto es el punto de partida del cálculo salarial. Es obligatorio.,Falta el salario bruto en la nómina.,body,true,general
R_PL_004,PERS_LOCAL,neto_requerido,PL_008,required,,error,El salario neto (líquido a percibir) es obligatorio como verificación del importe final pagado.,Falta el salario neto en la nómina.,totals,true,general
